authors,title,System,year,publisher,type,abstract
"PJ Mous, YL Budeba, MM Temu",van Densen. WLT 1991. A catch effort data recording system for the fishery of the small pelagic Rastrineobola argentea in the southern part of Lake …,Freshwater,NA,NA,CITATION,NA
"E Mlaponi, OC Mkumbo, YL Budeba","Composition, biomass distribution andpopulation structure of the fish stocks in Lake Victoria–Tanzanian side",Freshwater,2008,NA,CITATION,NA
"ASE Mbonde, EF Katunzi, CN Ezekiel, YL Budeba",8.8 TEMPORAL VARIATIONS AND STATUS OF PHYTOPLANKTON COMMUNITY IN FIVE SELECTED SATELLITE LAKES OF RIVER KAGERA BASIN …,Freshwater,NA,NA,CITATION,NA
"PJ Mous, YL Budeba, MM Temu…",A catch effort data recording system for the developing fishery on the small pelagic Rastrineobola argentea in the southern part of Lake Victoria.,Freshwater,1991,research.wur.nl,CITATION,A catch effort data recording system for the developing fishery on the small pelagic Rastrineobola argentea in the southern part of Lake Victoria. — Research@WUR Skip to main …
"G Bulengela, P Onyango, J Brehm, PA Staehr…",“Bring fishermen at the center”: the value of local knowledge for understanding fisheries resources and climate-related changes in Lake Tanganyika,Freshwater,2020,Springer,NA,"In this paper, we discuss the value of local knowledge of fishermen from Kigoma, along the North Eastern shores of Lake Tanganyika, regarding fish and climate-related issues of the …"
"GS Bulengela, PO Onyango, JM Brehm","Exploring the agentic power in fishery: reflections from fishing communities of Lake Tanganyika, Kigoma, Tanzania",Freshwater,2020,Springer,NA,One of the central concerns of fisheries management is to understand the dynamics in the human-environment interactions especially in the context of the observed declining fish …
"G Bulengela, J Brehm, P Onyango","CO-MANAGEMENT IN CRISIS? REFLECTIONS FROM BEACH MANAGEMENT UNITS (BMUs) OF KIGOMA FISHING COMMUNITIES, TANZANIA",Freshwater,2021,researchgate.net,PDF,Effective management of fisheries resources is a challenging endeavor. This challenge emanates from the complexity of human behavior and their interaction with nature. As a …
G Bulengela,Reclaiming Ancestral Heritage: The Reduced Emissions from Deforestation and Forest Degradation (REDD+) and People's Access to Forest Resources,,2020,papers.ssrn.com,NA,Climate change poses challenge to the global society. Different measures have been set off in an attempt to address the problem. Among the recent adopted options is the “Reduced …
"J Brehm, C O'Reilly, P Stæhr…",A Transdisciplinary Examination of Food Insecurity and Sustainability on Lake Tanganyika,Freshwater,2019,ui.adsabs.harvard.edu,NA,"Sustainable environmental management of natural resources is critical for human society. The impacts of climate change, coupled with growing human populations, provide immense …"
G Bulengela,The socio-economic implications of adopting the reduced emissions from deforestation and forest degradation (redd) policy in Tanzania: a case of …,,2014,University of Dar es Salaam,CITATION,NA
"AS Downing, EH van Nes, JS Balirwa, J Beuving…",Coupled human and natural system dynamics as key to the sustainability of Lake Victoria's ecosystem services,Freshwater,2014,JSTOR,NA,"East Africa's Lake Victoria provides resources and services to millions of people on the lake's shores and abroad. In particular, the lake's fisheries are an important source of …"
POJ Bwathondi,"Preliminary investigations on rabbitfish, Siganus canalicullatus, cultivation in Tanzania",Marine,1982,Elsevier,NA,Preliminary investigation on the culture of Siganus canalicullatus in floating cages in Tanzania coastal water has revealed that the fish has high culture potential in the region. It is …
"POJ Bwathondi, R Ogutu-Ohwayo, J Ogari",Lake Victoria fisheries management plan,Freshwater,2001,aquadocs.org,NA,The purpose of this Fisheries Management Plan (FMP) within the Lake Victoria Fisheries Research Project was to sustain the livelihoods of the communities who depend on the …
"POJ Bwathondi, GUJ Mwamsojo","The status of the fishery resource in, the wetlands of Tanzania",,1993,books.google.com,HTML,"The main types of wetlands in Tanzania are described as an introduction to a coverage of the fisheries of the large lakes, the minor waters, the rivers and the intertidal ecosystems …"
"POJ Bwathondi, MAK Ngoile",Bivalves fouling floating cages used in aquaculture,,1982,nopr.niscair.res.in,NA,"Nine species of bivalve foulers were identified on floating cages used in aquaculture of rabbit fish, Siganus canaliculatus. Ostrea spp and Pinctada spp (5 species) were most …"
"T Sasaki, T Sato, S Miura, POJ Bwathondi…",Mitogenomic analysis for coelacanths (Latimeria chalumnae) caught in Tanzania,Marine,2007,Elsevier,NA,"In recent years, a large number of individuals of the species Latimeria chalumnae, one of the living fossil coelacanths, have been landed off the coast of Tanzania. Although L …"
"RB Hoza, YD Mgaya, POJ Bwathondi",Historical trends in fisheries management,,2017,Springer,NA,The management of the fisheries of Lake Victoria has had several successes and failures. These failures were either due to inadequate awareness of the fishing communities on the …
"B Abdulkarim, POJ Bwathondi…",Seasonal variations in the mineral composition of some commercially important fish species of Lake Victoria-Tanzania,Freshwater,2015,internationalscholarsjournals.com,PDF,"Fish is high in digestible protein and an important source of minerals (Abdullahi, 2002). The most important minerals in the fish and shell fish are potassium and calcium followed by …"
"B Abdulkarim, POJ Bwathondi, BL Benno","Seasonal variations in the proximate compositions of five economically-important fish species from Lake Victoria and Lake Tanganyika, Tanzania",Freshwater,2016,ajol.info,NA,"Proximate compositions of five economically-important fish species from Lake Victoria and Lake Tanganyika, Tanzania were determined using standard methods and procedures of …"
"POJ Bwathondi, HB Pratap","The length-weight relationship of fishes of Kunduchi Creek, Dar es Salaam, Tanzania.",Marine,1981,mbai.org.in,PDF,"The length-weight relationship of 27 species of marine releosts collected from Kunduchi Creek, Dar es Salaam was investigated using the formula W= aLn. The'n'values were found …"
"POJ Bwathondi, B Abdulkarim","Growth performance of juveniles Oreochromis niloticus reared with two different diets in Kunduchi Ponds, Dar Es Salaam, Tanzania",Freshwater,2017,ajol.info,NA,"Comparative study was conducted to observe the growth performance, length-weight relationship and condition factor of Oreochromis niloticus fed with two different diets using …"
POJ Bwathondi,The biology and fishery potential of palinurid lobsters in Tanzania.,Marine,1973,University of Dar es Salaam,CITATION,NA
"B Abdulkarim, POJ Bwathondi, M Suleiman…",A study on the amino acid profiles of five fresh water fishes commonly consumed in Tanzania,Freshwater,2017,academia.edu,PDF,"Amino acid composition analyses were carried out on five of the most popular and commercial value fresh water fish species: Latesniloticus, Oreochromis niloticus …"
POJ Bwathondi,The future of floating cage culture in Tanzania,,1985,edepot.wur.nl,PDF,"This paper reviews cage culture and, more particularly, in Tanzania, viz. Siganus canalicullatus in floating cages. It is seen that this rabbitfish, which is essentially herbivorous …"
"SS Hamed, NS Jiddawi, POJ Bwathondi","Effects of blood meal as a substitute for fish meal in the culture of juvenile Silver Pompano Trachinotus blochii (Lacepède, 1801) in a circulating aquaculture system",Marine,2017,ajol.info,NA,A feeding trial was conducted for 12 weeks to evaluate the nutritive value of fermented and un-fermented blood meal as a possible protein source for diets of juvenile silver pompano …
POJ Bwathondi,A review of aquaculture practices in Tanzania,,1986,edepot.wur.nl,PDF,"This review of aquaculture practices in Tanzania estimates that there are 3000 fish ponds in Tanzania yielding about 150 tons of fish per annum, over 80% of which are hardly managed …"
"SS Hamed, NS Jiddawi, POJ Bwathondi…","Effect of feeding frequency and feeding rate on growth performance of juvenile silver pompano, Trachinotus blochii",Marine,2016,ajol.info,NA,The silver pompano Trachinotus blochii is ideal species for aquaculture and its success depends on the identification of proper feeding regimens. The objective of this work was to …
POJ Bwathondi,Fish diversity of the wild and aquaculture water bodies in Singida Region,Freshwater,2002,Tanzania Fisheries Research …,CITATION,NA
"B Abdulkarim, POJ Bwathondi…",Comparative evaluation of the proximate and mineral compositions of Stolothrissa tanganicae and Limnothrissa miodon from Lake Tanganyika,Freshwater,2013,academia.edu,PDF,Studies on the proximate and mineral compositions of Stolothrissa tanganicae and Limnothrissa miodon were carried out using standard methods and procedures. There were …
POJ Bwathondi,"The state of Lake Victoria fisheries, Tanzanian sector",Freshwater,1990,agris.fao.org,CITATION,"The state of Lake Victoria fisheries, Tanzanian sector FAO_logo home-icon English Español Français العربية 中文 Русский home-icon Translate with Google Access the full text NOT …"
POJ Bwathondi,"The future of the fisheries of the Tanzanian part of Lake Victoria, in view of the predominance of Nile perch Lates niloticus",Freshwater,1985,agris.fao.org,CITATION,"The future of the fisheries of the Tanzanian part of Lake Victoria, in view of the predominance of Nile perch Lates niloticus FAO_logo home-icon English Español Français …"
"POJ Bwathondi, C Callieri, JH Kennedy, C Landry…",Export search results,,NA,NA,NA,EPrints Toggle navigation English français español русский English English français español русский Login Toggle navigation EPrints Home EPrints Home EPrints Browse All …
POJ Bwathondi,The culture of rabbit fish Siganus spp,Marine,1981,NA,CITATION,NA
"POJ Bwathondi, SS Nkotagu, S Mkuula",Pollution of the Msimbazi valley,Marine,1991,NA,CITATION,NA
"POJ Bwathondi, G Mwaya",The fishery of crustacea and molluscs in Tanzania,Marine,1984,NA,CITATION,NA
POJ Bwathondi,"FEASIBILITY OF CAGE CULTURE IN LAKE VICTORIA, TANZANIA SIDE",Freshwater,NA,NA,PDF,Cage farming involves keeping fish in any type of enclosure and involves holding them captive within an enclosed space whilst maintaining a free exchange of water eg in pond …
POJ Bwathondi,Preface and Opening Speech,,1990,Tanzania Fisheries Research …,CITATION,NA
POJ Bwathondi,The legal and institutional framework pertaining to conservation of aquatic environment in Tanzania with reference to Lake Tanganyika.,Freshwater,1991,NA,CITATION,NA
"POJ Bwathondi, O Mosille","The handling, processing and marketing of Nile perch (Lates niloticus) in Tanzania",Freshwater,1988,agris.fao.org,NA,The Food and Agriculture Organization (FAO) is a specialized agency of the United Nations that leads international efforts to defeat hunger. Our goal is to achieve food security for all …
POJ Bwathondi,Institutional arrangements for managing Lake Victoria,Freshwater,1996,NA,CITATION,NA
"POJ Bwathondi, CG Mahika, E Mlaponi, AP Shoko…",The Status and Management of Fish Ponds in Lake Victoria Basin- Tanzania: A resource Survey Report,Freshwater,2000,NA,CITATION,NA
"POJ Bwathondi, AI Chande, CG Mahika, HA Mhitu…",The potential of Sinda Islands for ecotourism and recreation development,Freshwater,2001,NA,CITATION,NA
"N Okada, BP Ngatunga, POJ Bwathondi, T Sasaki…",Mitogenomic Analysis for Coelacanths (Latimeria Chalumnae) Caught in Tanzania,Marine,2007,196.44.162.10,NA,"In recent years, a large number of individuals of the species Latimeria chalumnae, one of the living fossil coelacanths, have been landed off the coast of Tanzania. Although L …"
POJ Bwathondi,"Studies on the growth, diet and metazoan parasites of brown trout (salmo trutta l.) in two areas of north east scotland",Marine,1976,search.proquest.com,BOOK,"Loch of Strathbeg is a coastal dune lake, about 40 miles north of Aberdeen. The loch is fed by one burn, Burn of Savoch. The River Don tributaries are about 35 miles west of …"
"JJ Beuving, EH van Nes, POJ Bwathondi, JS Balirwa…",Coupled Human and Natural System Dynamics as Key to the Sustainability of Lake Victoria's Ecosystem Services,Freshwater,2014,196.44.162.10,NA,"East Africa's Lake Victoria provides resources and services to millions of people on the lake's shores and abroad. In particular, the lake's fisheries are an important source of …"
POJ Bwathondi,The current performance and prospects of the fish processing in the lake zone: a case study of fish processing factories in Mwanza.,Freshwater,1999,University of Dar es Salaam,CITATION,NA
POJ Bwathondi,The aquaculture of rabbitfish Siganus canaliculatus Park 1797 and problems of cage culture in Tanzania,Marine,1982,NA,CITATION,NA
"MAK Ngoile, POJ Bwathondi, ES Makwaia",Trends in the exploitation of marine fisheries resources in Tanzania,,1988,NA,CITATION,NA
"K Irvine, K Martens, SA Mapila, J Snoeks, G Carvalho…","The trophic ecology of the demersal fish community of Lake Malawi/Niassa, Central Africa",Freshwater,2002,NA,CITATION,NA
POJ Bwathondi,The potential of marine polyculture in developing countries: Case study in Tanzania,,1982,NA,CITATION,NA
"POJ Bwathondi, GC Mahika, M Masaigana","Pilot Survey of Aquaculture in Mara Region, with a View to Advice on the Integrated Fish Culture",Freshwater,1993,NA,CITATION,NA
POJ Bwathondi,The spiny lobster fishery in Tanzania,Marine,1980,NA,CITATION,NA
"POJ Bwathondi, GC Mahika",Aquaculture potential of mwanza region with the view to the establishment of pilot aquaculture activities,Freshwater,1997,NA,CITATION,NA
"POJ Bwathondi, O Mosille","The handling, processing and marketing of Nile perch in Tanzania",Freshwater,1988,… Presented at the Project Seminar on …,CITATION,NA
"POJ Bwathondi, APA Shoko, A Kyojo",Aquaculture Potential of Kagera Region,Freshwater,1998,NA,CITATION,NA
"POJ Bwathondi, R Ogutu-Ohwayo, J Ogari","Lake Victoria Fisheries Management Plan (LVFMP). IG Cowx and K. Crean. Lake Victoria Fisheries Research Project (LVFRP)—Phase II, LVFRP …",Freshwater,2001,… Data Working Group of the Lake …,CITATION,NA
POJ Bwathondi,The culture of rabbit fish (Siganus spp) in Tanzania,Marine,1981,NA,CITATION,NA
POJ Bwathondi,The fisheries resources of Lake Victoria,Freshwater,1991,NA,CITATION,NA
"POJ Bwathondi, GC Mahika",Prawn ﬁshery of Tanzania based on data from TAFICO (1983-1988),Marine,1989,NA,CITATION,NA
POJ Bwathondi,"Short notes on the infection of the African toad, Bufo regularis by the monogenean parasite, Beauchampia alluaudi (Beauchamp, 1913)",,1977,NA,CITATION,NA
"POJ Bwathondi, AP Shoko, E Mlaponi",Artificial insemination of Clarias gariepinus,Freshwater,1999,NA,CITATION,NA
